Name;VOLKSWAGEN - TOT RETURN IND;NESTLE 'N' - TOT RETURN IND;COCA COLA - TOT RETURN IND;INTERNATIONAL BUS.MCHS. - TOT RETURN IND
01.01.1990;672.06;707.93;636.89;217.97
02.01.1990;683.89;707.93;643.07;226.95
03.01.1990;703.18;738.1;633.8;228.97
04.01.1990;685.13;738.92;630.71;231.58
05.01.1990;673.31;729.95;625.55;231
08.01.1990;682.02;731.17;638.95;232.45
09.01.1990;699.44;734.84;633.8;230.13
10.01.1990;688.24;745.03;629.68;229.26
11.01.1990;695.71;749.11;629.68;231.29
12.01.1990;694.46;742.59;607;226.66
15.01.1990;687;731.58;596.7;227.24
16.01.1990;660.86;721.79;601.85;231.87
17.01.1990;660.86;727.09;597.73;228.97
18.01.1990;649.66;722.61;594.64;230.42
19.01.1990;654.02;723.42;598.76;228.39
22.01.1990;659.62;723.42;581.24;223.76
23.01.1990;674.55;720.98;585.36;224.05
24.01.1990;650.9;700.99;582.27;225.79
25.01.1990;666.46;701.4;566.81;222.03
26.01.1990;665.22;695.69;556.51;224.34
29.01.1990;672.68;702.22;562.69;225.21
30.01.1990;673.31;697.32;546.2;225.21
31.01.1990;688.37;691.61;567.84;228.39
01.02.1990;695.71;691.21;566.81;226.37
02.02.1990;709.4;694.88;571.96;227.82
05.02.1990;718.11;703.44;569.9;233.51
06.02.1990;721.84;705.48;566.81;236.74
07.02.1990;704.42;700.59;572.99;241.72
08.02.1990;714.38;720.98;571.96;240.84
09.02.1990;703.18;715.67;568.87;240.25
12.02.1990;690.73;712;564.75;237.03
13.02.1990;690.11;715.67;552.38;242.01
14.02.1990;689.49;722.2;553.41;243.18
15.02.1990;695.09;724.24;572.99;243.18
16.02.1990;713.13;727.91;564.75;242.6
19.02.1990;708.15;724.24;564.75;242.6
20.02.1990;685.75;716.9;564.75;241.13
21.02.1990;678.29;702.22;564.75;245.82
22.02.1990;691.35;703.44;558.57;242.01
23.02.1990;682.64;700.59;560.63;240.54
26.02.1990;669.82;690.8;570.93;243.77
27.02.1990;693.22;698.95;576.09;243.18
28.02.1990;689.49;698.95;581.24;243.47
01.03.1990;672.68;693.25;583.3;243.77
02.03.1990;678.29;699.36;579.18;245.82
05.03.1990;683.26;703.44;579.18;246.11
06.03.1990;680.77;701.4;589.48;247.87
07.03.1990;686.37;711.6;588.45;247.28
08.03.1990;691.98;709.56;596.7;250.8
09.03.1990;699.44;707.52;596.9;249.63
12.03.1990;695.09;703.44;597.94;252.56
13.03.1990;715.62;705.48;595.87;249.04
14.03.1990;711.27;705.48;600.01;249.04
15.03.1990;715.62;703.44;598.98;250.8
16.03.1990;715.62;703.44;607.27;254.61
19.03.1990;742.38;697.32;624.88;255.49
20.03.1990;755.07;695.28;617.63;253.14
21.03.1990;762.92;703.44;613.48;251.39
22.03.1990;751.09;701.4;601.05;249.63
23.03.1990;753.58;687.13;614.52;246.11
26.03.1990;764.92;689.17;616.59;244.06
27.03.1990;768.1;687.13;624.88;244.94
28.03.1990;766.45;689.17;629.03;248.16
29.03.1990;774.47;695.28;625.92;248.46
30.03.1990;784.03;697.32;619.7;248.75
02.04.1990;766.83;687.13;630.07;248.16
03.04.1990;782.12;689.17;640.43;249.92
04.04.1990;789.12;689.17;641.46;249.63
05.04.1990;787.21;689.17;642.5;248.75
06.04.1990;778.29;697.32;645.61;248.16
09.04.1990;766.19;695.28;657.01;247.28
10.04.1990;756.64;693.25;664.26;248.16
11.04.1990;750.27;691.21;663.23;249.33
12.04.1990;755.37;689.17;667.37;251.09
13.04.1990;755.37;689.17;667.37;251.09
16.04.1990;755.37;689.17;666.34;259.88
17.04.1990;751.67;693.25;665.3;260.47
18.04.1990;737.79;689.17;657.01;257.54
19.04.1990;733.71;687.13;641.46;255.78
20.04.1990;737.53;685.09;635.25;256.37
23.04.1990;704.41;685.09;637.32;256.37
24.04.1990;703.78;678.97;638.36;255.19
25.04.1990;711.42;672.86;638.36;256.37
26.04.1990;707.22;670.82;638.36;254.9
27.04.1990;713.33;662.66;623.85;251.68
30.04.1990;707.6;650.43;632.14;255.49
01.05.1990;707.6;650.43;636.28;253.14
02.05.1990;720.97;662.66;641.46;255.78
03.05.1990;747.98;662.66;646.65;256.07
04.05.1990;766.7;664.7;648.72;261.84
07.05.1990;784.66;672.86;652.86;261.84
